ERPset                                  bin    	channel	value  
s2618_ERP (CLEAN; REB)                   23      	60      	 0.689
s2618_ERP (CLEAN; REB)                   23      	62      	 1.186
s2618_ERP (CLEAN; REB)                   23      	63      	 3.870
s2618_ERP (CLEAN; REB)                   24      	58      	 3.619
s2618_ERP (CLEAN; REB)                   24      	59      	 2.062
s2618_ERP (CLEAN; REB)                   24      	60      	 0.393
s2618_ERP (CLEAN; REB)                   24      	62      	 1.031
s2618_ERP (CLEAN; REB)                   24      	63      	 3.895
s2619_ERP (CLEAN; REB)                   20      	58      	 0.637
s2619_ERP (CLEAN; REB)                   20      	59      	 0.280
s2619_ERP (CLEAN; REB)                   20      	60      	-0.227
s2619_ERP (CLEAN; REB)                   20      	62      	 0.051
s2619_ERP (CLEAN; REB)                   20      	63      	 0.414
s2619_ERP (CLEAN; REB)                   21      	58      	 0.339
s2619_ERP (CLEAN; REB)                   21      	59      	 0.444
s2619_ERP (CLEAN; REB)                   21      	60      	 0.191
s2619_ERP (CLEAN; REB)                   21      	62      	 0.211
s2619_ERP (CLEAN; REB)                   21      	63      	 0.328
s2619_ERP (CLEAN; REB)                   23      	58      	 1.409
s2619_ERP (CLEAN; REB)                   23      	59      	 0.627
s2619_ERP (CLEAN; REB)                   23      	60      	 0.449
s2619_ERP (CLEAN; REB)                   23      	62      	 0.315
s2619_ERP (CLEAN; REB)                   23      	63      	 1.209
s2619_ERP (CLEAN; REB)                   24      	58      	 1.121
s2619_ERP (CLEAN; REB)                   24      	59      	 1.335
s2619_ERP (CLEAN; REB)                   24      	60      	 0.652
s2619_ERP (CLEAN; REB)                   24      	62      	 0.922
s2619_ERP (CLEAN; REB)                   24      	63      	 1.411
s2622_ERP (CLEAN; REB)                   20      	58      	 0.791
s2622_ERP (CLEAN; REB)                   20      	59      	 1.195
s2622_ERP (CLEAN; REB)                   20      	60      	 1.817
s2622_ERP (CLEAN; REB)                   20      	62      	 1.675
s2622_ERP (CLEAN; REB)                   20      	63      	 0.734
s2622_ERP (CLEAN; REB)                   21      	58      	 3.580
s2622_ERP (CLEAN; REB)                   21      	59      	 3.468
s2622_ERP (CLEAN; REB)                   21      	60      	 3.231
s2622_ERP (CLEAN; REB)                   21      	62      	 4.635
s2622_ERP (CLEAN; REB)                   21      	63      	 3.961
s2622_ERP (CLEAN; REB)                   23      	58      	 3.877
s2622_ERP (CLEAN; REB)                   23      	59      	 3.925
s2622_ERP (CLEAN; REB)                   23      	60      	 4.160
s2622_ERP (CLEAN; REB)                   23      	62      	 5.246
s2622_ERP (CLEAN; REB)                   23      	63      	 4.374
s2622_ERP (CLEAN; REB)                   24      	58      	 5.247
s2622_ERP (CLEAN; REB)                   24      	59      	 4.888
s2622_ERP (CLEAN; REB)                   24      	60      	 4.804
s2622_ERP (CLEAN; REB)                   24      	62      	 6.633
s2622_ERP (CLEAN; REB)                   24      	63      	 5.858
s2624_ERP (CLEAN; REB)                   20      	58      	 0.965
s2624_ERP (CLEAN; REB)                   20      	59      	 1.757
s2624_ERP (CLEAN; REB)                   20      	60      	 2.072
s2624_ERP (CLEAN; REB)                   20      	62      	 1.463
s2624_ERP (CLEAN; REB)                   20      	63      	 0.960
s2624_ERP (CLEAN; REB)                   21      	58      	 1.199
s2624_ERP (CLEAN; REB)                   21      	59      	 1.538
s2624_ERP (CLEAN; REB)                   21      	60      	 1.494
s2624_ERP (CLEAN; REB)                   21      	62      	 1.343
s2624_ERP (CLEAN; REB)                   21      	63      	 1.340
s2624_ERP (CLEAN; REB)                   23      	58      	 2.052
s2624_ERP (CLEAN; REB)                   23      	59      	 2.071
s2624_ERP (CLEAN; REB)                   23      	60      	 1.939
s2624_ERP (CLEAN; REB)                   23      	62      	 1.947
s2624_ERP (CLEAN; REB)                   23      	63      	 2.197
s2624_ERP (CLEAN; REB)                   24      	58      	 1.757
s2624_ERP (CLEAN; REB)                   24      	59      	 1.961
s2624_ERP (CLEAN; REB)                   24      	60      	 1.603
s2624_ERP (CLEAN; REB)                   24      	62      	 1.407
s2624_ERP (CLEAN; REB)                   24      	63      	 2.087
s2625_ERP (CLEAN; REB)                   20      	58      	 1.671
s2625_ERP (CLEAN; REB)                   20      	59      	 0.403
s2625_ERP (CLEAN; REB)                   20      	60      	-0.810
s2625_ERP (CLEAN; REB)                   20      	62      	-0.204
s2625_ERP (CLEAN; REB)                   20      	63      	 1.476
s2625_ERP (CLEAN; REB)                   21      	58      	 2.216
